Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextDouble,"(3, 20)",0.07872154620520092,60,38.56768133647309,37.91107875510257,41.72180020359164
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextFloat,"(3, 20)",0.03782820510692448,60,37.29581265126451,37.2049595078203,37.37756640568979
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextInt,"(3, 20)",0.04550983712245048,60,37.011320597810325,36.796468758235285,37.28010340471784
org.jenetics.util.RandomEnginePerf.ThreadLocalRandomPerf.nextLong,"(3, 20)",0.02547358188320922,60,36.82974244824608,36.69328865878853,36.97056007086883
org.jenetics.util.SeqPerf.forEachLoopSeq,"(3, 20)",0.010384491120248722,60,1112.3267661512818,1107.6738897528944,1115.9513254193369
org.jenetics.util.SeqPerf.forLoopArray,"(3, 20)",0.0060654209691857084,60,727.8884497824488,725.7027136675081,729.8750981703674
org.jenetics.util.SeqPerf.forLoopSeq,"(3, 20)",0.004064174567717316,60,1083.333169323203,1081.1217285453438,1084.728017051798
org.jenetics.util.SeqPerf.getFromArray,"(3, 20)",0.02426019421871737,60,34.51240487931519,34.2830295310531,34.90906289807454
org.jenetics.util.SeqPerf.getFromSeq,"(3, 20)",0.032193420700106515,60,37.772639943401046,37.24069754210287,38.12770643251437
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf10,"(3, 20)",0.07333147865478587,60,42.12513929183591,41.04574713706684,42.547560559536
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf15,"(3, 20)",0.06430329636178785,60,42.926661948039246,42.568651864148855,43.53823299452697
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf160,"(3, 20)",0.14559259581374623,60,66.45961520142131,63.61181176901701,68.88471910515358
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf20,"(3, 20)",0.06454222628547111,60,45.74855293779447,45.15253608247423,46.548490901192466
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf250,"(3, 20)",0.15168851073834416,60,64.26027704122524,61.22285306061062,67.64305254556436
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf40,"(3, 20)",0.1720394323870467,60,50.73503978007608,48.292493008963625,60.43136232457374
org.jenetics.ProbabilitySelectorIndexOfPerf.binaryIndexOf80,"(3, 20)",0.12909881451126196,60,57.8254699706109,54.232535443028134,62.2743883142538
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf10,"(3, 20)",0.028793320998411975,60,41.13717343707033,40.75468286191955,41.7954132016632
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf15,"(3, 20)",0.04789680823435271,60,42.75216892199646,41.89792646802579,43.253200619260966
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf160,"(3, 20)",0.04669142927616208,60,100.24155311457176,98.47189106102803,101.84103964257854
org.jenetics.internal.util.IndexSorterPerf.insertionSort320,"(3, 20)",0.038030964454720526,60,62398.50573402114,60947.85947640828,63655.80428134557
org.jenetics.internal.util.IndexSorterPerf.insertionSort80,"(3, 20)",0.07561479891929154,60,4525.300527033281,4361.125010312904,4718.3299511461855
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextDouble,"(3, 20)",0.03201585445433285,60,39.678065719325225,39.17393171464246,39.90006244672023
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextFloat,"(3, 20)",0.03170425428225735,60,38.897835939978684,38.62827376645927,39.14275389760299
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextInt,"(3, 20)",0.0372933377323794,60,37.31736625701172,37.181774310303226,37.89019909424934
org.jenetics.util.RandomEnginePerf.LCG64ShiftRandomPerf.nextLong,"(3, 20)",0.02007998875949034,60,37.529765466677986,37.28376576761358,38.01394505647748
org.jenetics.util.RandomEnginePerf.RandomPerf.nextDouble,"(3, 20)",0.028988388801629652,60,52.18098950490069,51.46736505165139,52.566096285131664
org.jenetics.util.RandomEnginePerf.RandomPerf.nextFloat,"(3, 20)",0.033048837955263095,60,39.944895424322226,39.53120929766556,40.45963508491085
org.jenetics.util.RandomEnginePerf.RandomPerf.nextInt,"(3, 20)",0.0136589451168465,60,38.39232639669295,38.24697988624465,38.597073945756904
org.jenetics.util.RandomEnginePerf.RandomPerf.nextLong,"(3, 20)",0.01290095130831402,60,50.18080702572102,49.97949430171154,50.389971878946724
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf20,"(3, 20)",0.08654135443514736,60,44.90146100846759,44.395318857411716,45.625795891871526
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf250,"(3, 20)",0.039563912579181654,60,130.86960709180383,128.5960736196319,132.33345527711725
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf40,"(3, 20)",0.038633293927410786,60,49.416502832865184,48.92873210906258,50.05948075781292
org.jenetics.ProbabilitySelectorIndexOfPerf.serialIndexOf80,"(3, 20)",0.0626299329775107,60,62.522240921731836,62.138945584780686,64.36784616662513
org.jenetics.internal.util.IndexSorterPerf.heapSort160,"(3, 20)",0.020398193773672177,60,11648.085729143848,11526.603794196113,11759.742008273786
org.jenetics.internal.util.IndexSorterPerf.heapSort250,"(3, 20)",0.014907098392895116,60,20704.545723410283,20600.45897839225,20863.085035941873
org.jenetics.internal.util.IndexSorterPerf.heapSort320,"(3, 20)",0.013398166632972268,60,27398.48245691645,27247.76645558033,27609.738743378435
org.jenetics.internal.util.IndexSorterPerf.heapSort80,"(3, 20)",0.03440682346650087,60,5292.067631239341,5180.9670147521965,5353.26500115808
org.jenetics.internal.util.IndexSorterPerf.insertionSort160,"(3, 20)",0.05141486372516644,60,16707.6713407821,16471.796249521496,17032.45636011226
org.jenetics.internal.util.IndexSorterPerf.insertionSort250,"(3, 20)",0.04377823345370083,60,37977.93293923359,37407.36505295157,38886.09514662393
