Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.randomRead,"(1, 3)",0.0633245382585752,3,794820608.0,776994816.0,827326464.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetReadBenchmark.successiveRead,"(1, 3)",0.47388059701492535,3,281018368.0,278921216.0,412090368.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.randomWrite,"(1, 3)",0.013333333333333334,3,1101004800.0,1094713344.0,1109393408.0
jetbrains.exodus.benchmark.chronicle.JMHChronicleMapTokyoCabinetWriteBenchmark.successiveWrite,"(1, 3)",0.046296296296296294,3,905969664.0,884998144.0,926941184.0
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey,"(1, 3)",0.08061133280120619,3,47.28161788100541,46.47438247011952,50.28581670450472
jetbrains.exodus.benchmark.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey,"(1, 3)",0.045162043202249556,3,48.69613105888902,46.51666411863629,48.715880893300245
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGet,"(1, 3)",0.03092350346905603,3,49.52302976526579,48.64073940703397,50.17216498977833
jetbrains.exodus.benchmark.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey,"(1, 3)",2.101467253033729,3,47.77444951398532,46.11558482530168,146.51202601065498
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet,"(1, 3)",10.908184094524763,3,54.384515425888665,49.7372676502459,642.9735738073613
jetbrains.exodus.benchmark.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey,"(1, 3)",11.641213401639648,3,49.70679304897315,45.18132728126467,623.8287126754993
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryKey,"(1, 3)",7.035031146870187,3,123.63548687395271,112.05742508569531,981.8369261024128
jetbrains.exodus.benchmark.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey,"(1, 3)",0.054897512441195555,3,52.89129431508286,51.52952977050233,54.43313025819553
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyJdkMap,"(1, 3)",0.10050349016295955,3,37.46969783028513,36.056988020536224,39.82282342783135
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newEmptyXodusMap,"(1, 3)",0.03960941282458153,3,58.26377966159398,56.00547075509928,58.313264856435815
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newJdkMap,"(1, 3)",0.043490100582991,3,81.43298913337298,78.49456096310092,82.03608985128493
jetbrains.exodus.benchmark.dataStructures.JMHSmallHashMapBenchmark.newXodusMap,"(1, 3)",0.515863494490555,3,78.45830691185796,76.67892756597469,117.15270394133822
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeExisting,"(1, 3)",0.07818991989101519,3,622.2429886625181,612.8080971659919,661.46122660226
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.get23TreeMissing,"(1, 3)",0.025140525025217773,3,311.1721792477994,310.963327250879,318.78635921040984
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeExisting,"(1, 3)",0.011635917561539982,3,120.45571767899558,119.83575636841437,121.2373691691433
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.getBitTreeMissing,"(1, 3)",0.04210759185310427,3,120.77249460637084,118.91439174202354,123.99983065198984
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetExisting,"(1, 3)",0.02014416530919681,3,310.4903107541899,306.5416234887737,312.79619163551
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetBenchmark.treeMapGetMissing,"(1, 3)",0.2548687044233924,3,350.5328093584354,303.4370316134034,392.7768745924799
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterate23Tree,"(1, 3)",0.027695767762704996,3,12461346.7654321,12436467.358024692,12781593.924050633
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateBitTree,"(1, 3)",0.0011173652910079017,3,637034.3811344806,636870.5672402804,637582.3673469388
jetbrains.exodus.benchmark.dataStructures.persistent.JMHPersistentLongSetIterationBenchmark.iterateTreeMap,"(1, 3)",0.02446674633985833,3,5936533.964497041,5932074.414201183,6077322.084848485
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.randomRead,"(1, 3)",0.07941653160453808,3,2587885568.0,2541748224.0,2747269120.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead,"(1, 3)",0.3442796610169492,3,247463936.0,224133120.0,309329920.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite,"(1, 3)",0.006006006006006006,3,2793406464.0,2785017856.0,2801795072.0
jetbrains.exodus.benchmark.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite,"(1, 3)",0.11946308724832215,3,781189120.0,702545920.0,795869184.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead,"(1, 3)",0.19402985074626866,3,1545601024.0,1317011456.0,1616904192.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead,"(1, 3)",0.1815431164901664,3,346554368.0,333971456.0,396886016.0
jetbrains.exodus.benchmark.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite,"(1, 3)",0.09181636726546906,3,2101346304.0,1967128576.0,2160066560.0
