Benchmark,Config,Instability,Time,Average,CI Lower,CI Upper
zipkin2.EndpointBenchmarks.parseIpv4_addr,"(1, 3)",0.014864783370520124,3,209.219190643121,204.8886834679381,214.7886234081261
zipkin2.EndpointBenchmarks.parseIpv4_bytes,"(1, 3)",0.013129766529467736,3,112.43493324780434,100.929050691836,134.10389276415185
zipkin2.EndpointBenchmarks.parseIpv4_literal,"(1, 3)",0.000708611753194675,3,124.83281379983625,123.93670199543512,125.32524172912753
zipkin2.EndpointBenchmarks.parseIpv6_addr,"(1, 3)",0.000615508505514641,3,209.88448488662684,124.3396036952738,380.8976680505256
zipkin2.EndpointBenchmarks.parseIpv6_bytes,"(1, 3)",0.010651387269119435,3,131.5741561994685,127.16109611791573,139.0312522765353
zipkin2.EndpointBenchmarks.parseIpv6_literal,"(1, 3)",0.03299564970482856,3,497.66582591621926,476.730513007537,523.2696862262741
zipkin2.SpanBenchmarks.buildClientSpan,"(1, 3)",0.013755825881851824,3,400.6276065397207,304.1371383757407,589.3665329988345
zipkin2.SpanBenchmarks.buildClientSpan_clear,"(1, 3)",0.003228074459353654,3,320.796035009972,304.29163805398554,352.8193717277488
zipkin2.SpanBenchmarks.buildClientSpan_clone,"(1, 3)",0.028597832405423622,3,271.6803650557681,224.8894261450101,358.6415554491591
zipkin2.SpanBenchmarks.buildClientSpan_longs,"(1, 3)",0.02275913858057937,3,426.20983578990723,334.1043030780161,477.5762797872773
zipkin2.SpanBenchmarks.padLeft_15Chars,"(1, 3)",0.025649989452912345,3,67.73993728937548,65.81649415568728,69.85418912082352
zipkin2.SpanBenchmarks.padLeft_17Chars,"(1, 3)",0.4129825810188988,3,149.7904000456065,68.89604594311436,263.1088824011258
zipkin2.SpanBenchmarks.padLeft_1Char,"(1, 3)",0.11230019776625687,3,156.56122723517174,134.51816387193392,176.4922770754653
zipkin2.SpanBenchmarks.padLeft_31Chars,"(1, 3)",0.4559975764280513,3,169.14995179167357,71.44766413125905,304.6651584744407
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V1,"(1, 3)",0.010157059027609442,3,16387.39678075606,15791.02579875714,16769.892322695632
zipkin2.codec.CodecBenchmarks.readChineseSpan_JSON_V2,"(1, 3)",0.006417297348111354,3,8429.493678694833,8324.528661157025,8509.104822851048
zipkin2.codec.CodecBenchmarks.readChineseSpan_PROTO3,"(1, 3)",0.059158662794394544,3,2019.1495561879983,1889.128502009719,2160.406156716418
zipkin2.codec.CodecBenchmarks.readChineseSpan_THRIFT,"(1, 3)",0.0002104317502532407,3,5050.690518486349,5034.0431256182,5082.925758754864
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V1,"(1, 3)",0.004185579879113,3,15712.476947173816,15543.828477185269,15829.79152689775
zipkin2.codec.CodecBenchmarks.readClientSpan_JSON_V2,"(1, 3)",0.002026395881712915,3,8620.799891053952,8571.222138708576,8702.551439195702
zipkin2.codec.CodecBenchmarks.readClientSpan_PROTO3,"(1, 3)",0.07461891412488868,3,1879.495591749075,1733.3493522664055,2022.7977815204133
zipkin2.codec.CodecBenchmarks.readClientSpan_THRIFT,"(1, 3)",0.011662870665938211,3,4358.927393137106,4278.435340935692,4424.678185157472
zipkin2.codec.CodecBenchmarks.readTenClientSpans_JSON_V2,"(1, 3)",0.0006172695275962228,3,64178.08857265159,64097.5423913741,64299.591037857324
zipkin2.codec.CodecBenchmarks.writeChineseSpan_JSON_V1,"(1, 3)",0.004519408161510571,3,3753.4956844010303,3716.270870995466,3780.6127212029896
